availability_30,availability_60,availability_90,availability_365
0,0,0,0
16,46,76,343
28,58,88,363
30,31,31,243
7,19,33,118
28,47,74,239
27,57,87,362
0,0,0,0
0,0,0,32
10,10,21,296
16,40,67,335
0,0,0,0
0,0,0,93
30,60,90,365
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
14,24,40,220
0,0,0,0
0,0,0,46
28,58,88,178
0,0,0,0
3,19,37,37
5,16,35,265
0,0,0,0
0,0,19,20
30,60,90,365
0,13,43,196
20,45,75,165
30,60,90,365
30,60,90,365
20,29,29,34
0,0,0,0
13,43,62,278
0,0,0,0
0,0,25,26
30,60,90,365
0,0,0,0
12,27,53,321
0,0,0,0
18,41,67,339
18,40,70,345
17,36,55,317
0,0,0,0
0,3,5,5
10,17,26,229
0,10,15,264
0,11,41,316
0,0,0,0
0,0,0,0
24,54,84,174
0,0,0,0
28,58,88,363
22,52,82,357
30,60,90,365
30,60,90,365
0,0,0,0
30,60,90,365
11,41,71,247
0,0,0,0
30,60,90,365
30,60,87,359
30,60,90,365
30,60,90,365
30,60,90,365
0,0,0,0
0,0,0,0
30,60,90,145
0,3,16,246
28,58,88,363
20,50,80,170
20,50,80,135
28,58,88,347
30,60,90,365
0,0,0,0
30,60,90,365
0,0,0,0
5,26,35,228
0,0,0,27
1,6,8,168
11,37,48,267
30,60,90,365
0,3,3,3
30,60,90,365
13,16,27,174
16,42,61,309
12,39,65,65
22,52,82,172
0,0,0,0
0,0,0,0
0,0,0,0
18,29,51,326
0,0,0,0
3,18,41,316
30,60,90,365
24,45,60,309
30,60,90,365
5,35,65,339
0,16,46,314
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
23,44,74,336
5,25,46,214
0,0,0,0
4,10,30,108
30,60,85,360
29,59,89,364
10,10,22,297
30,60,85,360
3,12,24,243
3,5,11,276
0,0,0,0
23,53,83,358
11,17,30,276
20,47,77,352
8,14,27,253
0,0,0,0
9,32,62,62
14,44,74,283
23,53,83,358
11,41,63,329
0,0,0,232
19,22,50,140
28,58,88,88
30,60,90,365
10,29,52,295
19,32,48,211
8,38,68,343
13,16,30,198
5,21,40,215
0,0,0,0
17,47,77,342
28,58,88,363
23,53,83,358
0,0,0,0
0,0,0,0
6,10,12,204
0,0,0,0
0,0,0,0
29,59,84,359
30,60,90,365
0,0,0,0
0,0,0,0
3,26,53,323
0,0,0,0
30,60,90,365
8,10,15,280
1,1,1,66
0,0,0,0
15,42,42,100
5,35,64,64
30,60,90,365
0,0,0,0
0,0,0,0
0,0,0,32
1,9,25,300
12,26,49,317
30,60,90,180
13,18,37,312
29,59,89,364
19,27,38,289
7,24,47,306
30,60,87,267
0,7,13,117
18,48,78,287
2,10,21,272
30,60,90,365
21,36,60,333
23,53,83,173
16,40,70,324
0,0,0,0
1,3,15,142
0,0,0,0
30,60,90,365
23,53,75,75
28,58,88,363
29,50,55,216
0,0,0,42
7,22,51,322
10,19,26,92
8,30,40,275
0,0,0,0
0,0,0,0
30,60,90,365
0,0,0,0
0,0,0,0
30,60,90,365
30,53,70,345
30,60,90,365
0,0,0,0
2,32,62,336
0,0,0,92
0,0,0,157
13,20,42,257
16,46,76,351
1,7,23,291
7,7,16,180
7,11,11,12
0,0,0,0
30,60,90,365
0,0,0,0
22,52,82,357
3,3,16,16
14,21,36,245
6,11,16,266
30,60,90,365
0,0,0,100
0,0,0,0
28,58,83,358
0,0,0,0
7,30,53,322
12,23,32,259
0,26,56,236
0,0,0,0
12,15,23,127
14,35,43,125
3,14,44,130
28,53,82,357
6,27,57,57
14,26,52,258
0,0,0,0
14,25,39,194
30,60,90,365
30,60,90,365
0,0,0,0
0,0,0,0
2,5,27,115
19,48,78,353
4,6,15,182
9,19,32,284
28,58,88,363
0,0,0,0
23,53,83,358
0,0,0,0
0,0,0,0
4,27,57,305
0,0,0,0
0,9,30,143
4,4,10,183
0,0,0,0
7,14,33,33
14,15,15,15
27,57,87,267
26,56,86,361
19,49,79,354
9,30,49,289
30,60,90,180
0,0,0,193
13,43,73,95
4,10,20,270
30,60,90,365
29,42,62,138
2,6,16,135
0,0,0,0
4,8,33,117
2,27,45,109
30,60,90,365
2,6,8,143
2,14,29,179
0,0,0,0
0,0,0,0
25,53,80,155
2,16,41,316
14,35,65,340
11,14,25,80
17,47,77,348
27,57,87,362
0,3,3,3
0,0,0,0
0,0,0,36
0,0,0,0
2,10,28,223
9,30,55,133
4,4,4,214
0,0,0,0
0,6,36,311
0,0,1,219
12,29,59,293
0,0,0,0
7,29,41,154
30,60,90,365
5,35,65,340
0,0,0,0
0,0,0,252
0,0,0,0
0,0,0,180
0,0,0,0
0,0,0,0
0,0,0,0
28,58,88,88
30,60,90,365
0,0,0,0
0,0,0,45
0,0,0,145
0,0,0,0
29,59,89,364
0,0,0,0
5,11,17,158
2,5,21,255
0,0,0,0
0,0,0,0
10,39,69,323
13,33,60,210
12,29,53,328
0,0,0,0
28,58,88,88
28,58,86,233
29,59,89,364
22,45,68,343
30,60,90,365
